Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Sertraline,PO,25–100 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O276), """", $O276*1.0)","=IF(ISBLANK($O276), """", $O276*1.5)","=IF(ISBLANK($O276), """", $O276*2.0)","=IF(ISBLANK($O276), """", 4*MIN(10,$O276) + 2*MAX(0,MIN(10,$O276-10)) + 1*MAX(0,$O276-20))","=IF(ISBLANK($O276), """", $O276*30)"
Citalopram,PO,10–40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O277), """", $O277*1.0)","=IF(ISBLANK($O277), """", $O277*1.5)","=IF(ISBLANK($O277), """", $O277*2.0)","=IF(ISBLANK($O277), """", 4*MIN(10,$O277) + 2*MAX(0,MIN(10,$O277-10)) + 1*MAX(0,$O277-20))","=IF(ISBLANK($O277), """", $O277*30)"
Escitalopram,PO,5–20 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O278), """", $O278*1.0)","=IF(ISBLANK($O278), """", $O278*1.5)","=IF(ISBLANK($O278), """", $O278*2.0)","=IF(ISBLANK($O278), """", 4*MIN(10,$O278) + 2*MAX(0,MIN(10,$O278-10)) + 1*MAX(0,$O278-20))","=IF(ISBLANK($O278), """", $O278*30)"
Fluoxetine,PO,10–40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O279), """", $O279*1.0)","=IF(ISBLANK($O279), """", $O279*1.5)","=IF(ISBLANK($O279), """", $O279*2.0)","=IF(ISBLANK($O279), """", 4*MIN(10,$O279) + 2*MAX(0,MIN(10,$O279-10)) + 1*MAX(0,$O279-20))","=IF(ISBLANK($O279), """", $O279*30)"
Paroxetine,PO,10–40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O280), """", $O280*1.0)","=IF(ISBLANK($O280), """", $O280*1.5)","=IF(ISBLANK($O280), """", $O280*2.0)","=IF(ISBLANK($O280), """", 4*MIN(10,$O280) + 2*MAX(0,MIN(10,$O280-10)) + 1*MAX(0,$O280-20))","=IF(ISBLANK($O280), """", $O280*30)"
Venlafaxine XR,PO,37.5–225 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O281), """", $O281*1.0)","=IF(ISBLANK($O281), """", $O281*1.5)","=IF(ISBLANK($O281), """", $O281*2.0)","=IF(ISBLANK($O281), """", 4*MIN(10,$O281) + 2*MAX(0,MIN(10,$O281-10)) + 1*MAX(0,$O281-20))","=IF(ISBLANK($O281), """", $O281*30)"
Duloxetine,PO,30–60 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O282), """", $O282*1.0)","=IF(ISBLANK($O282), """", $O282*1.5)","=IF(ISBLANK($O282), """", $O282*2.0)","=IF(ISBLANK($O282), """", 4*MIN(10,$O282) + 2*MAX(0,MIN(10,$O282-10)) + 1*MAX(0,$O282-20))","=IF(ISBLANK($O282), """", $O282*30)"
Mirtazapine,PO,7.5–45 mg HS,HS,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O283), """", $O283*1.0)","=IF(ISBLANK($O283), """", $O283*1.5)","=IF(ISBLANK($O283), """", $O283*2.0)","=IF(ISBLANK($O283), """", 4*MIN(10,$O283) + 2*MAX(0,MIN(10,$O283-10)) + 1*MAX(0,$O283-20))","=IF(ISBLANK($O283), """", $O283*30)"
Bupropion SR,PO,150 mg q12h (avoid seizures/ETOH withdrawal),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O284), """", $O284*1.0)","=IF(ISBLANK($O284), """", $O284*1.5)","=IF(ISBLANK($O284), """", $O284*2.0)","=IF(ISBLANK($O284), """", 4*MIN(10,$O284) + 2*MAX(0,MIN(10,$O284-10)) + 1*MAX(0,$O284-20))","=IF(ISBLANK($O284), """", $O284*30)"
Hydroxyzine,PO,25–50 mg q6h PRN anxiety,q6h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O285), """", $O285*1.0)","=IF(ISBLANK($O285), """", $O285*1.5)","=IF(ISBLANK($O285), """", $O285*2.0)","=IF(ISBLANK($O285), """", 4*MIN(10,$O285) + 2*MAX(0,MIN(10,$O285-10)) + 1*MAX(0,$O285-20))","=IF(ISBLANK($O285), """", $O285*30)"
Risperidone,"PO, ODT",0.5–2 mg q12–24h,q12–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O286), """", $O286*1.0)","=IF(ISBLANK($O286), """", $O286*1.5)","=IF(ISBLANK($O286), """", $O286*2.0)","=IF(ISBLANK($O286), """", 4*MIN(10,$O286) + 2*MAX(0,MIN(10,$O286-10)) + 1*MAX(0,$O286-20))","=IF(ISBLANK($O286), """", $O286*30)"
Ziprasidone (IM),IM,10–20 mg IM q2–4h (max 40 mg/day),PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O287), """", $O287*1.0)","=IF(ISBLANK($O287), """", $O287*1.5)","=IF(ISBLANK($O287), """", $O287*2.0)","=IF(ISBLANK($O287), """", 4*MIN(10,$O287) + 2*MAX(0,MIN(10,$O287-10)) + 1*MAX(0,$O287-20))","=IF(ISBLANK($O287), """", $O287*30)"
Aripiprazole,PO,5–15 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O288), """", $O288*1.0)","=IF(ISBLANK($O288), """", $O288*1.5)","=IF(ISBLANK($O288), """", $O288*2.0)","=IF(ISBLANK($O288), """", 4*MIN(10,$O288) + 2*MAX(0,MIN(10,$O288-10)) + 1*MAX(0,$O288-20))","=IF(ISBLANK($O288), """", $O288*30)"
Paliperidone,PO,3–9 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O289), """", $O289*1.0)","=IF(ISBLANK($O289), """", $O289*1.5)","=IF(ISBLANK($O289), """", $O289*2.0)","=IF(ISBLANK($O289), """", 4*MIN(10,$O289) + 2*MAX(0,MIN(10,$O289-10)) + 1*MAX(0,$O289-20))","=IF(ISBLANK($O289), """", $O289*30)"
Lithium carbonate,PO,300 mg q8–12h (titrate to level),q8–12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O290), """", $O290*1.0)","=IF(ISBLANK($O290), """", $O290*1.5)","=IF(ISBLANK($O290), """", $O290*2.0)","=IF(ISBLANK($O290), """", 4*MIN(10,$O290) + 2*MAX(0,MIN(10,$O290-10)) + 1*MAX(0,$O290-20))","=IF(ISBLANK($O290), """", $O290*30)"
Lamotrigine,PO,25 mg daily start; titrate,Daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O291), """", $O291*1.0)","=IF(ISBLANK($O291), """", $O291*1.5)","=IF(ISBLANK($O291), """", $O291*2.0)","=IF(ISBLANK($O291), """", 4*MIN(10,$O291) + 2*MAX(0,MIN(10,$O291-10)) + 1*MAX(0,$O291-20))","=IF(ISBLANK($O291), """", $O291*30)"
Phenobarbital,"IV, PO",Load 10–20 mg/kg; maintenance 1–3 mg/kg/day,q12–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O292), """", $O292*1.0)","=IF(ISBLANK($O292), """", $O292*1.5)","=IF(ISBLANK($O292), """", $O292*2.0)","=IF(ISBLANK($O292), """", 4*MIN(10,$O292) + 2*MAX(0,MIN(10,$O292-10)) + 1*MAX(0,$O292-20))","=IF(ISBLANK($O292), """", $O292*30)"
Clonazepam,PO,0.5–2 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O293), """", $O293*1.0)","=IF(ISBLANK($O293), """", $O293*1.5)","=IF(ISBLANK($O293), """", $O293*2.0)","=IF(ISBLANK($O293), """", 4*MIN(10,$O293) + 2*MAX(0,MIN(10,$O293-10)) + 1*MAX(0,$O293-20))","=IF(ISBLANK($O293), """", $O293*30)"
Nimodipine,PO,60 mg q4h (SAH),q4h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O294), """", $O294*1.0)","=IF(ISBLANK($O294), """", $O294*1.5)","=IF(ISBLANK($O294), """", $O294*2.0)","=IF(ISBLANK($O294), """", 4*MIN(10,$O294) + 2*MAX(0,MIN(10,$O294-10)) + 1*MAX(0,$O294-20))","=IF(ISBLANK($O294), """", $O294*30)"
Alteplase (tPA),IV,"Stroke: 0.9 mg/kg (10% bolus, 90% infusion 60 min)",Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O295), """", $O295*1.0)","=IF(ISBLANK($O295), """", $O295*1.5)","=IF(ISBLANK($O295), """", $O295*2.0)","=IF(ISBLANK($O295), """", 4*MIN(10,$O295) + 2*MAX(0,MIN(10,$O295-10)) + 1*MAX(0,$O295-20))","=IF(ISBLANK($O295), """", $O295*30)"
Tenecteplase,IV,Weight-based bolus for STEMI/stroke (per protocol),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O296), """", $O296*1.0)","=IF(ISBLANK($O296), """", $O296*1.5)","=IF(ISBLANK($O296), """", $O296*2.0)","=IF(ISBLANK($O296), """", 4*MIN(10,$O296) + 2*MAX(0,MIN(10,$O296-10)) + 1*MAX(0,$O296-20))","=IF(ISBLANK($O296), """", $O296*30)"
Atovaquone,PO,"1,500 mg q24h with food",q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O297), """", $O297*1.0)","=IF(ISBLANK($O297), """", $O297*1.5)","=IF(ISBLANK($O297), """", $O297*2.0)","=IF(ISBLANK($O297), """", 4*MIN(10,$O297) + 2*MAX(0,MIN(10,$O297-10)) + 1*MAX(0,$O297-20))","=IF(ISBLANK($O297), """", $O297*30)"
Pentamidine (inhaled),INH,300 mg neb monthly,Monthly,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O298), """", $O298*1.0)","=IF(ISBLANK($O298), """", $O298*1.5)","=IF(ISBLANK($O298), """", $O298*2.0)","=IF(ISBLANK($O298), """", 4*MIN(10,$O298) + 2*MAX(0,MIN(10,$O298-10)) + 1*MAX(0,$O298-20))","=IF(ISBLANK($O298), """", $O298*30)"
IVIG,IV,0.4 g/kg/day ×5 or 1–2 g/kg total (indication-based),Protocol,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O299), """", $O299*1.0)","=IF(ISBLANK($O299), """", $O299*1.5)","=IF(ISBLANK($O299), """", $O299*2.0)","=IF(ISBLANK($O299), """", 4*MIN(10,$O299) + 2*MAX(0,MIN(10,$O299-10)) + 1*MAX(0,$O299-20))","=IF(ISBLANK($O299), """", $O299*30)"
Epoetin alfa,"SC, IV",50–100 units/kg TIW,TIW,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O300), """", $O300*1.0)","=IF(ISBLANK($O300), """", $O300*1.5)","=IF(ISBLANK($O300), """", $O300*2.0)","=IF(ISBLANK($O300), """", 4*MIN(10,$O300) + 2*MAX(0,MIN(10,$O300-10)) + 1*MAX(0,$O300-20))","=IF(ISBLANK($O300), """", $O300*30)"
Darbepoetin alfa,"SC, IV",0.45 mcg/kg weekly or 0.75 mcg/kg q2wk,Weekly–q2wk,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O301), """", $O301*1.0)","=IF(ISBLANK($O301), """", $O301*1.5)","=IF(ISBLANK($O301), """", $O301*2.0)","=IF(ISBLANK($O301), """", 4*MIN(10,$O301) + 2*MAX(0,MIN(10,$O301-10)) + 1*MAX(0,$O301-20))","=IF(ISBLANK($O301), """", $O301*30)"
Tacrolimus,"PO, IV",PO 0.05–0.1 mg/kg/day divided; IV 0.01 mg/kg/day,q12h/continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O302), """", $O302*1.0)","=IF(ISBLANK($O302), """", $O302*1.5)","=IF(ISBLANK($O302), """", $O302*2.0)","=IF(ISBLANK($O302), """", 4*MIN(10,$O302) + 2*MAX(0,MIN(10,$O302-10)) + 1*MAX(0,$O302-20))","=IF(ISBLANK($O302), """", $O302*30)"
Mycophenolate mofetil,"PO, IV",1 g PO/IV q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O303), """", $O303*1.0)","=IF(ISBLANK($O303), """", $O303*1.5)","=IF(ISBLANK($O303), """", $O303*2.0)","=IF(ISBLANK($O303), """", 4*MIN(10,$O303) + 2*MAX(0,MIN(10,$O303-10)) + 1*MAX(0,$O303-20))","=IF(ISBLANK($O303), """", $O303*30)"
Prednisone (chronic),PO,5–20 mg q24h (taper per regimen),q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O304), """", $O304*1.0)","=IF(ISBLANK($O304), """", $O304*1.5)","=IF(ISBLANK($O304), """", $O304*2.0)","=IF(ISBLANK($O304), """", 4*MIN(10,$O304) + 2*MAX(0,MIN(10,$O304-10)) + 1*MAX(0,$O304-20))","=IF(ISBLANK($O304), """", $O304*30)"
Baclofen,PO,5–20 mg q8h,q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O305), """", $O305*1.0)","=IF(ISBLANK($O305), """", $O305*1.5)","=IF(ISBLANK($O305), """", $O305*2.0)","=IF(ISBLANK($O305), """", 4*MIN(10,$O305) + 2*MAX(0,MIN(10,$O305-10)) + 1*MAX(0,$O305-20))","=IF(ISBLANK($O305), """", $O305*30)"
Dicyclomine,PO,10–20 mg q6h,q6h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O306), """", $O306*1.0)","=IF(ISBLANK($O306), """", $O306*1.5)","=IF(ISBLANK($O306), """", $O306*2.0)","=IF(ISBLANK($O306), """", 4*MIN(10,$O306) + 2*MAX(0,MIN(10,$O306-10)) + 1*MAX(0,$O306-20))","=IF(ISBLANK($O306), """", $O306*30)"
Clonidine,"PO, TD",0.1–0.3 mg PO q8–12h; patch 0.1–0.3 mg/24h weekly,q8–12h/weekly,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O307), """", $O307*1.0)","=IF(ISBLANK($O307), """", $O307*1.5)","=IF(ISBLANK($O307), """", $O307*2.0)","=IF(ISBLANK($O307), """", 4*MIN(10,$O307) + 2*MAX(0,MIN(10,$O307-10)) + 1*MAX(0,$O307-20))","=IF(ISBLANK($O307), """", $O307*30)"
Propranolol,"PO, IV",10–40 mg PO q6–8h; IV 1 mg q2–5 min to 3 mg,q6–8h/PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O308), """", $O308*1.0)","=IF(ISBLANK($O308), """", $O308*1.5)","=IF(ISBLANK($O308), """", $O308*2.0)","=IF(ISBLANK($O308), """", 4*MIN(10,$O308) + 2*MAX(0,MIN(10,$O308-10)) + 1*MAX(0,$O308-20))","=IF(ISBLANK($O308), """", $O308*30)"
Prochlorperazine (supp),PR,25 mg PR BID PRN,BID PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O309), """", $O309*1.0)","=IF(ISBLANK($O309), """", $O309*1.5)","=IF(ISBLANK($O309), """", $O309*2.0)","=IF(ISBLANK($O309), """", 4*MIN(10,$O309) + 2*MAX(0,MIN(10,$O309-10)) + 1*MAX(0,$O309-20))","=IF(ISBLANK($O309), """", $O309*30)"
Ketamine (procedural),IV,1–2 mg/kg IV bolus (sedation),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O310), """", $O310*1.0)","=IF(ISBLANK($O310), """", $O310*1.5)","=IF(ISBLANK($O310), """", $O310*2.0)","=IF(ISBLANK($O310), """", 4*MIN(10,$O310) + 2*MAX(0,MIN(10,$O310-10)) + 1*MAX(0,$O310-20))","=IF(ISBLANK($O310), """", $O310*30)"
Sodium acetate (IV),IV,As component of custom fluids,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O311), """", $O311*1.0)","=IF(ISBLANK($O311), """", $O311*1.5)","=IF(ISBLANK($O311), """", $O311*2.0)","=IF(ISBLANK($O311), """", 4*MIN(10,$O311) + 2*MAX(0,MIN(10,$O311-10)) + 1*MAX(0,$O311-20))","=IF(ISBLANK($O311), """", $O311*30)"
Terazosin,PO,1–10 mg HS,HS,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Doxazosin,PO,1–8 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Carvedilol (PO),PO,6.25–25 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Spironolactone (HF),PO,12.5–50 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Eplerenone,PO,25–50 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Clopidogrel (load),PO,300–600 mg once then 75 mg q24h,Once/then daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Aspirin (rectal),PR,300 mg PR once then 81 mg PO q24h,Once/then daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Heparin (ACS bolus),IV,60–70 U/kg IV then infusion per protocol,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Tranexamic acid,IV,1 g IV over 10 min then 1 g over 8 h,Protocol,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Desmopressin (bleed),IV,0.3 mcg/kg IV over 30 min,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Prothrombin complex concentrate (4F-PCC),IV,25–50 U/kg per INR,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Vitamin K (phytonadione),"IV, PO",2.5–10 mg IV/PO,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Idarucizumab,IV,5 g IV (2×2.5 g) for dabigatran reversal,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Andexanet alfa,IV,Dose per last rivaroxaban/apixaban dose,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Protamine,IV,1 mg per 100 U heparin given in prior 2–3 h,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Norethindrone (AUB),PO,5–10 mg TID (short course),TID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Medroxyprogesterone (AUB),PO,10 mg q12h (short course),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Oxytocin (PPH),IV,10–40 units in 1 L; titrate,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Misoprostol (PPH),"PO, PR","600–1,000 mcg once",Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Methylergonovine,IM,0.2 mg IM q2–4h PRN,PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Carboprost,IM,250 mcg IM q15–90min (max 2 mg),PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Magnesium sulfate (OB),IV,4–6 g load then 1–2 g/h,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Nifedipine (IR),PO,10 mg q6–8h PRN HTN,q6–8h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Nicotine patch,TD,21 mg/24h then taper,Daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
Nicotine gum/lozenge,PO,2–4 mg q1–2h PRN,PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,,,,,
